id;name_en;name_es;name_pt;picture
1;Netherlands Antilles;Antillas Neerlandesas;Antilhas Holandesas ;Antilhas Holandesas
2;Argentina;Argentina ;Argentina ;Argentina
3;Barbados;Barbados ;Barbados ;Barbados
4;Bolivia;Bolívia ;Bolívia ;Bolivia
5;Brazil;Brasil ;Brasil ;Brasil
6;Chile;Chile ;Chile ;Chile
7;Colombia;Colombia ;Colômbia ;Colombia
8;Costa Rica;Costa Rica ;Costa Rica ;Costa Rica
9;Dominican Republic;República Dominicana ;República Dominicana ;Dominican Republic
10;El Salvador;El Salvador ;El Salvador ;El Salvador
11;United States;Estados Unidos;Estados Unidos;Estados Unidos
12;Guatemala;Guatemala ;Guatemala ;Guatemala
13;Honduras;Honduras ;Honduras ;Honduras
14;Mexico;México ;México ;México
15;Panama;Panamá ;Panamá ;Panamá
16;Paragay;Paraguai ;Paraguai ;Paraguai
17;Peru;Perú;Peru;Peru
